depth_m	age_gas_calBP	age_gas_calBP	co2_ppm	co2_1s_ppm	notes
102.83	137.00	350.11	280.40	1.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
106.89	268.00	486.69	274.90	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
107.20	279.00	501.20	277.90	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
110.25	395.00	539.65	279.10	1.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
110.50	404.00	539.89	281.90	1.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
113.27	485.00	657.69	277.70	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
115.48	559.00	762.16	281.10	1.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
118.62	672.00	867.61	282.20	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
121.50	754.00	961.07	280.10	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
124.82	877.00	1109.50	278.40	1.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
127.02	950.00	1168.29	276.60	1.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
129.75	1060.00	1256.85	279.10	1.00	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
132.50	1153.00	1315.27	277.70	1.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
134.72	1233.00	1387.27	278.70	1.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
138.02	1350.00	1477.17	277.40	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
141.30	1453.00	1653.13	279.20	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
144.05	1552.00	1729.03	280.00	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
146.27	1638.00	1816.60	278.90	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
149.02	1733.00	1901.97	278.70	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
151.20	1812.00	1999.71	278.00	1.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
154.50	1931.00	2093.36	276.90	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
157.82	2057.00	2234.24	276.70	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
160.03	2128.00	2265.55	276.70	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
162.17	2212.00	2414.32	277.60	1.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
165.52	2334.00	2526.12	277.90	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
168.28	2433.00	2628.02	273.90	1.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
171.00	2536.00	2708.48	278.90	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
173.14	2604.00	2801.76	275.30	1.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
176.52	2728.00	2904.55	274.70	1.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
178.72	2806.00	2948.82	276.30	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
181.45	2902.00	3056.60	274.60	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
185.85	3053.00	3255.73	276.30	1.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
187.52	3116.00	3283.66	273.10	1.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
189.72	3215.00	3431.12	274.00	0.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
193.00	3336.00	3528.29	275.00	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
196.30	3453.00	3644.46	273.40	1.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
198.52	3523.00	3693.41	273.00	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
201.28	3622.00	3806.86	271.50	1.00	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
204.00	3721.00	3856.17	275.40	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
206.20	3790.00	3968.95	274.90	1.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
209.52	3910.00	4108.67	271.70	1.00	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
212.27	4004.00	4205.84	271.60	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
215.00	4096.00	4275.08	272.80	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
216.65	4161.00	4342.82	271.50	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
221.05	4324.00	4494.36	271.10	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
222.72	4374.00	4592.82	269.10	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
